1178	FOXO3	rna
1179	FOXO3	dna
1180	BAG1	rna
1181	BAG1	dna
1182	SMG7	rna
1183	SMG7	dna
1184	H4C6	rna
1185	H4C6	dna
1186	ASAH1	rna
1187	ASAH1	dna
1188	BAD	rna
1189	BAD	dna
1190	GOT1	rna
1191	GOT1	dna
1192	H3-4	rna
1193	H3-4	dna
1194	CLU	rna
1195	CLU	dna
1196	PDE3B	rna
1197	PDE3B	dna
1198	PSMC5	rna
1199	PSMC5	dna
1200	PDGFRB	rna
1201	PDGFRB	dna
1202	JAM3	rna
1203	JAM3	dna
1204	MCM5	rna
1205	MCM5	dna
1206	U2SURP	rna
1207	U2SURP	dna
1208	NDRG1	rna
1209	NDRG1	dna
1210	AQP2	rna
1211	AQP2	dna
1212	NR1H4	rna
1213	NR1H4	dna
1214	DCLRE1C	rna
1215	DCLRE1C	dna
1216	PPP1CA	rna
1217	PPP1CA	dna
1218	CEP97	rna
1219	CEP97	dna
1220	TNFRSF1A	rna
1221	TNFRSF1A	dna
1222	SNAP25	rna
1223	SNAP25	dna
1224	GGA1	rna
1225	GGA1	dna
1226	MRPL20	rna
1227	MRPL20	dna
1228	CDK1	rna
1229	CDK1	dna
1230	FLOT2	rna
1231	FLOT2	dna
1232	PSMB9	rna
1233	PSMB9	dna
1234	NR3C1	rna
1235	NR3C1	dna
1236	MATR3	rna
1237	MATR3	dna
1238	NDUFB10	rna
1239	NDUFB10	dna
1240	PLAU	rna
1241	PLAU	dna
1242	DLG4	rna
1243	DLG4	dna
1244	HEATR1	rna
1245	HEATR1	dna
1246	SSR1	rna
1247	SSR1	dna
1248	KRT10	rna
1249	KRT10	dna
1250	PPID	rna
1251	PPID	dna
1252	GGH	rna
1253	GGH	dna
1254	FANCL	rna
1255	FANCL	dna
1256	BARD1	rna
1257	BARD1	dna
1258	TUBG1	rna
1259	TUBG1	dna
1260	RACK1	rna
1261	RACK1	dna
1262	PHLPP1	rna
1263	PHLPP1	dna
1264	PSMD4	rna
1265	PSMD4	dna
1266	GPD1	rna
1267	GPD1	dna
1268	VCAM1	rna
1269	VCAM1	dna
1270	POLD4	rna
1271	POLD4	dna
1272	XRCC6	rna
1273	XRCC6	dna
1274	CCL2	rna
1275	CCL2	dna
1276	IKBKB	rna
1277	IKBKB	dna
1278	RXRG	rna
1279	RXRG	dna
1280	AARS1	rna
1281	AARS1	dna
1282	PKM	rna
1283	PKM	dna
1284	S100A9	rna
1285	S100A9	dna
1286	TUBB3	rna
1287	TUBB3	dna
1288	HIF1A	rna
